"","FAMNUM","SITE","FAMSIZE","TREAT","TOTFAMINC74","HHHRWRK","RACIALHH","MHETHNIC","FHETHNIC","AVGPROD","HMEVAL","VEHVAL","OTHVAL","LIQASSETS","DEBTS","PLAN","GBI_LVL_YR","GBI_MON","TAX_RATE","HH_HOURS1","HH_HOURS2","HH_HOURS3","HH_HOURS4","HH_HOURS5","HH_HOURS6","HH_HOURS7","HH_HOURS8","HH_HOURS9","HH_HOURS10","HH_HOURS11","HH_WAGE1","HH_WAGE2","HH_WAGE3","HH_WAGE4","HH_WAGE5","HH_WAGE6","HH_WAGE7","HH_WAGE8","HH_WAGE9","HH_WAGE10","HH_WAGE11","HH_WAGE0","HH_HOURS0","PAYMENT1","PAYMENT2","PAYMENT3","PAYMENT4","PAYMENT5","PAYMENT6","PAYMENT7","PAYMENT8","PAYMENT9","PAYMENT10","PAYMENT11"
"47",2660,"Winnipeg",8,3,4020,NA,0,NA,"Polish",NA,NA,0,NA,8,573,3,3800,316.666666666667,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,316.666666666667,316.666666666667,316.666666666667,316.666666666667,316.666666666667,316.666666666667,316.666666666667,316.666666666667,316.666666666667,316.666666666667,316.666666666667
"48",2662,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",2685,"Winnipeg",5,9,4375,NA,0,NA,"Canadian",NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50",2739,"Winnipeg",1,9,7896,NA,0,NA,"German",NA,60000,0,NA,8102,640,9,0,0,0,0,15,256,196,194,81,0,0,0,0,0,0,227,243,196,267,267,267,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"51",2746,"Winnipeg",2,5,15906,NA,0,NA,"Canadian",NA,12000,0,NA,NA,5300,5,5800,483.333333333333,0.5,1221,86,635,623,341,739,521,430,460,0,0,288,298,350,365,365,412,412,412,412,0,0,NA,NA,339.333333333333,334.333333333333,308.333333333333,300.833333333333,300.833333333333,277.333333333333,277.333333333333,277.333333333333,277.333333333333,483.333333333333,483.333333333333
"52",2761,"Winnipeg",1,3,6401,NA,0,NA,"German",NA,NA,0,NA,345,0,3,3800,316.666666666667,0.5,440,293,0,0,0,0,0,0,0,0,0,200,130,0,0,0,0,0,0,0,0,0,NA,NA,216.666666666667,251.666666666667,316.666666666667,316.666666666667,316.666666666667,316.666666666667,316.666666666667,316.666666666667,316.666666666667,316.666666666667,316.666666666667
"53",2782,"Winnipeg",6,1,7609,675,0,"French","French",11.2725925925926,18000,800,NA,6400,800,1,3800,316.666666666667,0.35,1086,76,792,624,848,264,584,520,864,496,482,406,462,463,537,539,539,539,539,582,582,625,707.25,56.25,174.566666666667,154.966666666667,154.616666666667,128.716666666667,128.016666666667,128.016666666667,128.016666666667,128.016666666667,112.966666666667,112.966666666667,97.9166666666667
"54",2789,"Winnipeg",5,2,7412,775,0,"Icelandic","German",9.56387096774194,NA,0,NA,0,500,2,4800,400,0.35,1723,445,272,500,721,250,458,434,769,342,608,465,465,465,496,553,553,553,553,620,602,500,451.666666666667,64.5833333333333,237.25,237.25,237.25,226.4,206.45,206.45,206.45,206.45,183,189.3,225
"55",2876,"Winnipeg",6,4,5730,775,0,"Canadian","Canadian",7.39354838709677,16000,0,NA,1000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,560.25,64.5833333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56",2901,"Winnipeg",3,9,10529,800,0,"Canadian","English",13.16125,NA,0,NA,206,1288,9,0,0,0,891,98,544,592,507,771,460,589,640,586,760,392,450,465,396,514,539,539,591,613,613,681,600,66.6666666666667,0,0,0,0,0,0,0,0,0,0,0
"57",2922,"Winnipeg",3,3,10320,NA,0,NA,"Ukrainian",NA,25000,NA,NA,0,0,3,3800,316.666666666667,0.5,1180,78,762,192,584,576,328,352,600,544,272,289,1437,332,332,375,375,375,390,390,390,390,NA,NA,172.166666666667,0,150.666666666667,150.666666666667,129.166666666667,129.166666666667,129.166666666667,121.666666666667,121.666666666667,121.666666666667,121.666666666667
"58",3009,"Winnipeg",5,9,10453,800,0,NA,NA,13.06625,21000,500,NA,200,500,9,0,0,0,974,21,621,701,304,856,553,856,863,869,1252,482,500,522,569,571,617,617,667,962,972,991,717,66.6666666666667,0,0,0,0,0,0,0,0,0,0,0
"59",3084,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60",3099,"Winnipeg",1,9,15302,NA,0,NA,"Canadian",NA,NA,0,NA,1500,100,9,0,0,0,1277,389,312,1064,602,0,368,442,954,726,900,375,476,277,601,601,0,625,644,644,644,644,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"61",3100,"Winnipeg",1,5,4526,NA,0,"Jewish",NA,NA,NA,0,NA,330,0,5,5800,483.333333333333,0.5,1283,412,126,0,0,0,136,0,0,0,0,267,254,112,0,0,0,321,0,0,0,0,NA,NA,349.833333333333,356.333333333333,427.333333333333,483.333333333333,483.333333333333,483.333333333333,322.833333333333,483.333333333333,483.333333333333,483.333333333333,483.333333333333
"62",3131,"Winnipeg",1,3,9148,NA,0,NA,"Polish",NA,25000,0,10000,4000,0,3,3800,316.666666666667,0.5,1288,104,1044,728,0,90,0,780,620,581,446,127,175,137,137,0,0,0,0,180,180,180,NA,NA,253.166666666667,229.166666666667,248.166666666667,248.166666666667,316.666666666667,316.666666666667,316.666666666667,316.666666666667,226.666666666667,226.666666666667,226.666666666667
"63",3167,"Winnipeg",7,4,8074,775,0,NA,NA,10.418064516129,NA,0,NA,0,512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,64.5833333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64",3185,"Winnipeg",1,9,4068,NA,0,NA,NA,NA,NA,0,NA,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"65",3229,"Winnipeg",3,1,8044,755,0,NA,NA,10.6543046357616,NA,200,NA,71,831,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,528.333333333333,62.9166666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66",3261,"Winnipeg",4,7,7379,760,1,"Native Indian band","Native Indian band",9.70921052631579,NA,10,NA,0,425,7,4800,400,0.75,1007,405,437,302,490,213,464,520,104,357,806,545,580,655,696,755,790,790,806,350,350,910,146.416666666667,63.3333333333333,0,0,0,0,0,0,0,0,137.5,137.5,0
"67",3262,"Winnipeg",7,3,3393,670,1,"Native Indian non-band","Native Indian non-band",5.06417910447761,NA,0,NA,0,0,3,3800,316.666666666667,0.5,0,0,0,0,0,336,170,0,0,0,0,0,0,0,0,0,200,200,0,0,0,0,0,55.8333333333333,316.666666666667,316.666666666667,316.666666666667,316.666666666667,316.666666666667,216.666666666667,216.666666666667,316.666666666667,316.666666666667,316.666666666667,316.666666666667
"68",3263,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69",3266,"Winnipeg",5,4,7367,800,0,"Polish","Canadian",9.20875,30000,600,NA,3850,674,4,4800,400,0.5,1017,151,474,753,851,291,487,352,780,1030,1112,323,309,308,699,460,460,460,537,894,904,1000,558.833333333333,66.6666666666667,238.5,245.5,246,50.5,170,170,170,131.5,0,0,0
"70",3281,"Winnipeg",5,1,11102,800,0,NA,NA,13.8775,NA,100,NA,0,2300,1,3800,316.666666666667,0.35,2263,132,1375,1088,1466,312,536,384,521,928,808,644,660,674,692,819,539,539,539,582,608,625,741.666666666667,66.6666666666667,91.2666666666667,85.6666666666667,80.7666666666667,74.4666666666667,30.0166666666667,128.016666666667,128.016666666667,128.016666666667,112.966666666667,103.866666666667,97.9166666666667
"71",3283,"Winnipeg",3,9,4303,NA,0,NA,"Canadian",NA,NA,0,NA,0,450,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"72",3408,"Winnipeg",4,2,5753,820,0,"French","French",7.01585365853659,23000,200,NA,500,0,2,4800,400,0.35,1006,15,939,365,409,740,591,727,628,480,1432,505,580,617,625,705,830,865,890,930,930,1010,666.666666666667,68.3333333333333,223.25,197,184.05,181.25,153.25,109.5,97.25,88.5,74.5,74.5,46.5
