"","FAMNUM","SITE","FAMSIZE","TREAT","TOTFAMINC74","HHHRWRK","RACIALHH","MHETHNIC","FHETHNIC","AVGPROD","HMEVAL","VEHVAL","OTHVAL","LIQASSETS","DEBTS"
"184",6739,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"185",6772,"Winnipeg",3,1,12069,760,0,NA,NA,15.8802631578947,NA,2700,NA,500,3866
"186",6861,"Winnipeg",1,6,7672,NA,0,NA,"French",NA,NA,0,NA,300,0
"187",6892,"Winnipeg",1,3,10963,NA,0,"Canadian",NA,NA,NA,2100,NA,16050,0
"188",6893,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"189",6926,"Winnipeg",3,2,12695,820,0,NA,NA,15.4817073170732,15000,500,NA,NA,2500
"190",6929,"Winnipeg",6,7,9233,925,0,NA,NA,9.98162162162162,20000,1400,NA,2000,2000
"191",6981,"Winnipeg",1,9,1666,NA,1,"Chinese",NA,NA,NA,0,NA,400,900
"192",6993,"Winnipeg",1,3,6431,NA,0,"Canadian",NA,NA,NA,0,NA,2100,400
"193",6997,"Winnipeg",5,7,3889,NA,0,NA,"Canadian",NA,22000,250,NA,722,1000
"194",7043,"Winnipeg",2,1,15435,775,0,"Canadian","Canadian",19.9161290322581,NA,600,NA,2100,3600
"195",7074,"Winnipeg",2,1,1733,NA,0,NA,"Canadian",NA,15000,0,NA,70,269
"196",7103,"Winnipeg",4,2,8657,800,0,NA,"Metis",10.82125,15000,200,NA,0,3965
"197",7109,"Winnipeg",10,8,4220,850,0,"English","Canadian",4.96470588235294,18000,200,NA,100,1500
"198",7119,"Winnipeg",4,6,11836,400,0,"French","Canadian",29.59,20000,600,5000,1300,2000
"199",7134,"Winnipeg",5,6,7870,713,0,"Ukrainian",NA,11.0378681626928,13000,4444,NA,NA,6000
"200",7172,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"201",7189,"Winnipeg",6,4,8909,780,0,"Irish","Scottish",11.4217948717949,34000,0,NA,2760,4000
"202",7192,"Winnipeg",3,5,2051,NA,0,NA,NA,NA,NA,0,NA,0,0
"203",7229,"Winnipeg",2,9,6192,NA,0,NA,"Metis",NA,NA,1000,NA,0,2900
"204",7231,"Winnipeg",4,9,2444,94,0,NA,NA,26,NA,0,NA,835,880
"205",7234,"Winnipeg",1,4,4432,NA,1,NA,"Native Indian band",NA,NA,650,NA,0,2600
"206",7330,"Winnipeg",3,4,5048,760,0,"English","English",6.64210526315789,NA,0,NA,0,3500
"207",7333,"Winnipeg",7,2,11410,800,0,"Italian","Italian",14.2625,18000,3200,NA,12800,0
"208",7343,"Winnipeg",5,6,1375,400,0,NA,"English",3.4375,NA,0,NA,0,0
"209",7355,"Winnipeg",1,2,2500,NA,0,NA,NA,NA,NA,0,NA,0,0
"210",7369,"Winnipeg",6,9,11820,680,0,NA,NA,17.3823529411765,28000,2950,32000,2600,0
"211",7380,"Winnipeg",2,5,8423,800,0,"French",NA,10.52875,NA,1800,NA,50,1400
"212",7394,"Winnipeg",3,2,2783,NA,0,NA,"Canadian",NA,NA,175,NA,0,0
"213",7444,"Winnipeg",3,1,8066,NA,0,NA,"Canadian",NA,NA,0,NA,0,1300
